date,shares_traded,amount_traded,open,high,low,close,fluctuation,transction
106/07/04,"1,938,299","218,264,629",113,113.5,111.5,113,0,"1,361"
106/07/05,"1,812,723","203,479,476",113.5,113.5,111.5,112,-1,"1,128"
106/07/06,"2,274,609","257,125,817",112.5,114,112,113,1,"1,281"
106/07/07,"6,183,193","708,285,205",113.5,116.5,112.5,112.5,-0.5,"3,387"
106/07/10,"1,392,894","157,164,522",112.5,113.5,112,113.5,1,926
106/07/11,"3,079,945","354,358,175",114,116,113.5,115.5,2,"1,932"
106/07/12,"4,506,645","528,582,965",115.5,118.5,115,117.5,2,"2,649"
106/07/13,"2,568,666","301,890,422",118.5,119,116.5,117,-0.5,"1,635"
106/07/14,"2,065,783","241,740,894",117,118.5,115.5,118.5,1.5,"1,283"
106/07/17,"4,340,558","501,482,429",118.5,118.5,114,115.5,-3,"2,535"
106/07/18,"2,034,016","235,855,335",115,117,114.5,116,0.5,"1,145"
106/07/19,"2,462,695","286,888,261",116,118,115,115.5,-0.5,"1,742"
106/07/20,"3,253,894","380,575,132",116.5,118,116,117,1.5,"2,108"
106/07/21,"6,511,992","775,954,532",117,120.5,116,119,2,"3,928"
106/07/24,"4,975,705","604,032,805",119,122.5,118.5,121.5,2.5,"3,025"
106/07/25,"4,376,032","533,687,404",122,123.5,120.5,122,0.5,"2,671"
106/07/26,"7,220,801","899,328,324",123,126,123,124,2,"3,914"
106/07/27,"10,728,692","1,381,141,554",125,130,125,130,6,"6,295"
106/07/28,"20,409,939","2,686,750,135",131,134.5,127,129,-1,"9,631"
106/07/31,"18,927,563","2,591,354,820",132,141.5,131.5,141,12,"9,124"
106/08/01,"10,322,384","1,443,443,623",143,144.5,136,138.5,-2.5,"6,701"
106/08/02,"11,426,811","1,621,268,973",142,143.5,139,143,4.5,"6,399"
106/08/03,"12,077,966","1,602,281,004",133,135,131,131,0,"7,312"
106/08/04,"5,722,660","747,929,426",131,133,128,132.5,1.5,"3,553"
106/08/07,"3,872,515","513,527,980",134,134,131.5,132,-0.5,"2,402"
106/08/08,"8,113,614","1,088,749,048",135,136.5,132,132,0,"4,722"
106/08/09,"4,511,991","589,304,304",132.5,133,128.5,130.5,-1.5,"2,650"
106/08/10,"6,951,719","889,027,313",132.5,132.5,124.5,127,-3.5,"3,928"
106/08/11,"4,637,186","598,515,680",125,131.5,125,130.5,3.5,"2,725"
106/08/14,"4,385,260","567,475,520",131,132.5,127,127,-3.5,"2,588"
106/08/15,"5,539,018","724,749,376",130,132,129.5,132,5,"3,468"
106/08/16,"6,100,182","809,740,842",133.5,135,130.5,130.5,-1.5,"3,624"
106/08/17,"3,070,782","405,805,224",131.5,133.5,131,132,1.5,"2,002"
106/08/18,"2,588,200","338,478,291",130.5,132,130,131,-1,"1,700"
106/08/21,"6,251,475","832,322,364",131,135.5,130,134.5,3.5,"3,393"
